Maine 2025 Priority Bills,Stance,Issues,Status Text,Last Timeline Action,Source Link
L.D. 1287 (H.P. 929): An Act To Protect The Penobscot River And Penobscot Bay From Mercury Contamination,Support,"Ocean Conservation, Toxics",Passed Original Chamber,"Ought Not To Pass Pursuant To Joint Rule 310,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280072526
L.D. 197 (H.P. 160): An Act To Convene A Working Group To Authorize A Public Trust For Maine'S Groundwater And To Impose A 2-Year Moratorium On Large-Scale Groundwater Extraction,Support,"Groundwater, Water",Passed Original Chamber,"Ought Not To Pass Pursuant To Joint Rule 310,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280070943
L.D. 1119 (S.P. 339): An Act To Authorize A General Fund Bond Issue To Support Investments In Energy Efficiency And Renewable Energy In Municipalities And School Administrative Units,Support,Energy,Passed Original Chamber,"Died Upon Conclusion Of The 129Th Legislature,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280072271
L.D. 1127 (S.P. 347): An Act To Expand Community-Based Solar Energy In Maine,Support,"Solar, Energy",Passed Original Chamber,"Ought Not To Pass Pursuant To Joint Rule 310,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280072279
"L.D. 1141 (H.P. 830): Resolve, Directing The Department Of Transportation To Construct The Merrymeeting Trail From Topsham To Gardiner",Oppose,Transportation,Passed Original Chamber,"Died Upon Conclusion Of The 129Th Legislature,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280072307
"L.D. 1142 (H.P. 831): Resolve, To Expand Transportation Services For Seniors Who Are Mainecare Members""
(Emergency)",Support,"Public Transit, Transportation",Passed Original Chamber,"Died Upon Conclusion Of The 129Th Legislature,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280072281
L.D. 1093 (S.P. 325): An Act To Authorize A General Fund Bond Issue To Invest In Maine'S Railroad Infrastructure,Support,"Rail / Rail Infrastructure, Transportation",Passed Original Chamber,"Died Upon Conclusion Of The 129Th Legislature,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280072218
L.D. 1027 (H.P. 757): An Act To Eliminate The 100-Megawatt Limit On Hydroelectric Generators Under The Renewable Resources Laws,Oppose,,Passed Original Chamber,"Accepted Majority (Ontp) Report,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280072132
"L.D. 911 (S.P. 265): An Act To Authorize A General Fund Bond Issue To Promote Land Conservation, Working Waterfronts, Water Access And Outdoor Recreation",Support,,Passed Original Chamber,"Died Upon Conclusion Of The 129Th Legislature,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280071938
L.D. 790 (S.P. 234): An Act To Eliminate The Cap On The Number Of Accounts Or Meters Designated For Net Energy Billing,Watching,Energy,Passed Original Chamber,"Ought Not To Pass Pursuant To Joint Rule 310,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280071751
L.D. 797 (H.P. 585): An Act To Limit Greenhouse Gas Pollution And Effectively Use Maine'S Natural Resources,Support,,Passed Original Chamber,"Ought Not To Pass Pursuant To Joint Rule 310,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280071791
L.D. 564 (H.P. 408): An Act To Encourage The Installation Of Solar Panels On Residential Property,Support,"Solar, Energy",Passed Original Chamber,"Ought Not To Pass Pursuant To Joint Rule 310,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280071459
L.D. 505 (H.P. 362): An Act To Require The Use Of Reusable Food Ware At Eating Establishments,Support,,Passed Original Chamber,"Ought Not To Pass Pursuant To Joint Rule 310,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280071361
L.D. 535 (H.P. 392): An Act To Authorize A General Fund Bond Issue To Invest In Maine'S Rail Infrastructure And Expand Passenger Rail Service,Support,"Rail / Rail Infrastructure, Transportation",Passed Original Chamber,"Died Upon Conclusion Of The 129Th Legislature,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280071412
L.D. 434 (H.P. 343): An Act To Price Carbon Pollution In Maine,Watching,,Passed Original Chamber,"Ought Not To Pass Pursuant To Joint Rule 310,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280071245
"L.D. 334 (H.P. 259): An Act To Change The Definition Of ""Renewable Capacity Resource",Support,,Passed Original Chamber,"Ought Not To Pass Pursuant To Joint Rule 310,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280071106
L.D. 327 (H.P. 252): An Act To Revise Maine'S Environmental Laws,Support,"Agency / Commission Creation, State Agency",Passed Original Chamber,"Leave To Withdraw,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280071107
L.D. 102 (H.P. 88): An Act To Improve The Manufacturing Of Plastic Bottles And Bottle Caps,Support,"Recycling, Waste",Passed Original Chamber,"Died Upon Conclusion Of The 129Th Legislature,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280070820
L.D. 41 (H.P. 42): An Act To Replace Net Energy Billing With A Market-Based Mechanism,Oppose,,Passed Original Chamber,"Accepted Majority (Ontp) Report,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280070662
L.D. 16 (H.P. 17): An Act To Authorize A General Fund Bond Issue To Invest In Infrastructure To Address Sea Level Rise,Support,"Resiliency, Climate Change: Prevention & Reaction",Passed Original Chamber,"Died Upon Conclusion Of The 129Th Legislature,",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280070615
L.D. 40 (S.P. 20): An Act To Strengthen Requirements For Water Testing For Schools,Support,Water,Sent to Executive,"This Bill, Having Been Returned By The Governor, Together With Objections To The Same Pursuant To Article Iv, Part Third, Section 2 Of The Constitution Of The State Of Maine, After Reconsideration, The House Proceeded To Vote On The Question: ""Shall This Bill Become A Law Notwithstanding The Objections Of The Governor?"" Roll Call No. 727V 93 Having Voted In The Affirmative And 50 In The Negative, With 8 Being Absent, And Accordingly It Was The Vote Of The House That The Bill Not Become A Law And The Veto Was Sustained. Ordered Sent Forthwith. Placed In The Legislative Files. (Dead)",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280062468
L.D. 257 (H.P. 190): An Act To Enable Municipalities Working With Utilities To Establish Microgrids,Support,State Agency,Sent to Executive,"This Bill, Having Been Returned By The Governor, Together With Objections To The Same Pursuant To Article Iv, Part Third, Section 2 Of The Constitution Of The State Of Maine, After Reconsideration, The House Proceeded To Vote On The Question: ""Shall This Bill Become A Law Notwithstanding The Objections Of The Governor?"" Roll Call No. 646V 80 Having Voted In The Affirmative And 68 In The Negative, With 3 Being Absent, And Accordingly It Was The Vote Of The House That The Bill Not Become A Law And The Veto Was Sustained. Ordered Sent Forthwith. Placed In The Legislative Files. (Dead)",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280062859
L.D. 1444 (S.P. 499): An Act Regarding Large-Scale Community Solar Procurement,Support,Energy,Sent to Executive,"Speaker Laid Before The House This Bill, Having Been Returned By The Governor, Together With Objections To The Same Pursuant To The Provisions Of The Constitution Of The State Of Maine, After Reconsideration, The House Proceeded To Vote On The Question: ""Shall This Bill Become A Law Notwithstanding The Objections Of The Governor?"" Roll Call No. 587V 96 Having Voted In The Affirmative And 50 In The Negative, With 5 Being Absent, And 0 Excused, And Accordingly It Was The Vote Of The House That The Bill Not Become Law And The Veto Was Sustained. (Placed In The Legislative Files. Dead.) Ordered Sent Forthwith.",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280064804
L.D. 182 (H.P. 138): An Act To Protect Firefighters By Establishing A Prohibition On The Sale And Distribution Of New Upholstered Furniture Containing Certain Flame-Retardant Chemicals,Support,Miscellanous,Enacted,Veto Overridden,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280062738
L.D. 586 (S.P. 201): An Act To Implement The Recommendations Of The Commission To Study The Public Reserved Lands Management Fund,Support,,Enacted,Veto Overridden (Emer),http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280063345
L.D. 1147 (H.P. 810): An Act To Modernize The Renewable Portfolio Standard,Support,Energy,Enacted,Veto Overridden,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280064240
L.D. 1504 (S.P. 529): An Act Regarding Solar Power For Farms And Businesses,Support,Energy,Sent to Executive,"Representative Malaby Of Hancock Asked If The Bill Was Properly Before The Body. Subsequently, The Chair Ruled The Bill Was Properly Before The Body. This Bill, Having Been Returned By The Governor, Together With Objections To The Same Pursuant To Article Iv, Part Third, Section 2 Of The Constitution Of The State Of Maine, After Reconsideration, The House Proceeded To Vote On The Question: ""Shall This Bill Become A Law Notwithstanding The Objections Of The Governor?"" Roll Call No. 459V 88 Having Voted In The Affirmative And 48 In The Negative, With 14 Being Absent, And 1 Excused, And Accordingly It Was The Vote Of The House That The Bill Not Become A Law And The Veto Was Sustained. Placed In The Legislative Files. (Dead) Ordered Sent Forthwith.",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280064993
L.D. 1313 (H.P. 910): An Act To Establish Energy Policy In Maine,Support,Energy,Enacted,Signed By The Governor,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280064540
L.D. 454 (H.P. 321): An Act To Ensure Safe Drinking Water For Families In Maine,Support,Water,Enacted,Veto Overridden,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280063147
L.D. 1062 (H.P. 745): An Act To Expand The Availability Of Electric Vehicle Charging Stations In Maine,Support,"Electric Vehicle, Transportation",Sent to Executive,"This Bill, Having Been Returned By The Governor, Together With Objections To The Same Pursuant To Article Iv, Part Third, Section 2 Of The Constitution Of The State Of Maine, After Reconsideration, The House Proceeded To Vote On The Question: ""Shall This Bill Become A Law Notwithstanding The Objections Of The Governor?"" Roll Call No. 338V 84 Having Voted In The Affirmative And 63 In The Negative, With 4 Being Absent, And 0 Excused, And Accordingly It Was The Vote Of The House That The Bill Not Become A Law And The Veto Was Sustained. Ordered Sent Forthwith. Placed In The Legislative Files. (Dead)",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280064094
L.D. 422 (H.P. 302): An Act To Facilitate The Creation Of The Maine Water Trust To Regulate And Protect Maine'S Water Supply And To Ensure The Quantity And Quality Of Maine'S Drinking Water,Support,Water,Sent to Executive,"This Bill, Having Been Returned By The Governor, Together With Objections To The Same Pursuant To Article Iv, Part Third, Section 2 Of The Constitution Of The State Of Maine, After Reconsideration, The House Proceeded To Vote On The Question: ""Shall This Bill Become A Law Notwithstanding The Objections Of The Governor?"" Roll Call No. 230V 74 Having Voted In The Affirmative And 69 In The Negative, With 7 Being Absent, And 1 Excused, And Accordingly It Was The Vote Of The House That The Bill Not Become A Law And The Veto Was Sustained. Ordered Sent Forthwith. Placed In The Legislative Files. (Dead)",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280063121
L.D. 252 (H.P. 185): An Act To Improve Safety In The Disposal Of Expired Marine Flares,Support,Waste,Sent to Executive,"This Bill, Having Been Returned By The Governor, Together With Objections To The Same Pursuant To Article Iv, Part Third, Section 2 Of The Constitution Of The State Of Maine, After Reconsideration, The House Proceeded To Vote On The Question: ""Shall This Bill Become A Law Notwithstanding The Objections Of The Governor?"" Roll Call No. 125V 84 Having Voted In The Affirmative And 62 In The Negative, With 3 Being Absent, And 2 Excused, And Accordingly It Was The Vote Of The House That The Bill Not Become A Law And The Veto Was Sustained. Ordered Sent Forthwith. Placed In The Legislative Files. (Dead)",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280062851
L.D. 905 (H.P. 633): An Act To Authorize The Construction Of A Maine Turnpike Connector To Gorham,Oppose,Transportation,Enacted,Veto Overridden,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280063838
L.D. 699 (H.P. 490): An Act To Enact The Toxic Chemicals In The Workplace Act,Support,Miscellanous,Passed Original Chamber,On Motion By Senator Volk Of Cumberland The Senate Insisted To Acceptance Of The Minority Ought Not To Pass Report In Non-Concurrence Placed In Legislative Files (Dead),http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280063497
L.D. 57 (H.P. 44): An Act To Phase Out The Use Of Single-Use Plastic Shopping Bags,Support,Waste,Sent to Executive,"This Bill, Having Been Returned By The Governor, Together With Objections To The Same Pursuant To The Provisions Of The Constitution Of The State Of Maine, After Reconsideration, The House Proceeded To Vote On The Question: ""Shall This Bill Become A Law Notwithstanding The Objections Of The Governor?"" Roll Call No. 95V 73 Having Voted In The Affirmative And 70 In The Negative, With 6 Being Absent, And 2 Excused, And Accordingly It Was The Vote Of The House That The Bill Not Become Law And The Veto Was Sustained. (Placed In The Legislative Files. Dead.) Ordered Sent Forthwith.",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280062566
L.D. 116 (H.P. 84): An Act To Increase Funding For Multimodal Transportation,Support,Transportation,Passed Original Chamber,On Motion By Senator Dow Of Lincoln The Senate Insisted To Acceptance Of The Minority Ought Not To Pass Report In Non-Concurrence Placed In Legislative Files (Dead),http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280062597
L.D. 369 (H.P. 275): An Act To Establish The Seaweed Advisory Council And To Enhance The Management Of The Seaweed Fishery,Support,State Agency,Enacted,Became Law Without Governor'S Signature,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280063022
L.D. 724 (S.P. 241): An Act To Amend The Laws Governing The State'S Rail Authority,Support,Transportation,Passed Second Chamber,"The House Insisted On Acceptance Of The Majority Ought To Pass As Amended Report And Passage To Be Engrossed As Amended By Committee Amendment ""A"" (S-42). Ordered Sent Forthwith. Placed In The Legislative Files. (Dead)",http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280063571
L.D. 500 (S.P. 161): An Act To Allow The Formation Of Transportation Corridor Districts,Support,Transportation,Passed Original Chamber,The House Insisted On Acceptance Of The Majority Ought To Pass Report And Passage To Be Engrossed Ordered Sent Forthwith. Placed In The Legislative Files. (Dead),http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280063182
L.D. 1515 (H.P. 1039): An Act To Reduce Electric Rates For Maine Businesses By Amending The Laws Governing Spending From The Regional Greenhouse Gas Initiative Trust Fund,Oppose,State Agency,Passed Original Chamber,Pursuant To Joint Rule 310.3 Placed In Legislative Files (Dead),http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280065006
L.D. 1185 (H.P. 822): An Act Regarding Renewable Portfolio Standards,Oppose,Energy,Passed Original Chamber,Pursuant To Joint Rule 310.3 Placed In Legislative Files (Dead),http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280064313
"L.D. 1009 (H.P. 710): Resolve, To Require The Maine Turnpike Authority To Study The Feasibility Of Constructing A Gorham Connector",Oppose,Transportation,Passed Original Chamber,Pursuant To Joint Rule 310.3 Placed In Legislative Files (Dead),http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280063992
L.D. 993 (H.P. 694): An Act To Protect Pollinators From Neonicotinoid Pesticides,Support,Species / Habitat,Passed Original Chamber,Pursuant To Joint Rule 310.3 Placed In Legislative Files (Dead),http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280063983
"L.D. 395 (H.P. 286): Resolve, Regarding Legislative Review Of Chapter 200: Metallic Mineral Exploration, Advanced Exploration And Mining, A Major Substantive Rule Of The Department Of Environmental Protection""
(Emergency)",Oppose,,Introduced or Prefiled,Pursuant To Joint Rule 310.3 Placed In Legislative Files (Dead),http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280063076
L.D. 797 (H.P. 577): An Act To Fund Railroad Infrastructure And Operations,Support,Transportation,Passed Original Chamber,The Bill Was In The Possession Of The Joint Select Committee On Marijuana Legalization Implementation When The Legislature Adjourned Sine Die And Was Placed In The Legislative Files. (Dead),http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280063724
L.D. 743 (H.P. 523): An Act To Authorize A General Fund Bond Issue To Promote And Improve The Intermodal Transportation System In Maine,Support,Transportation,Passed Original Chamber,The Bill Was In The Possession Of The Committee On Appropriations And Financial Affairs When The Legislature Adjourned Sine Die And Was Placed In The Legislative Files. (Dead),http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280063665
L.D. 703 (H.P. 494): An Act To Address Marine Debris Resulting From Commercial Activities,Support,Miscellanous,Passed Original Chamber,Reports Read On Motion By Senator Maker Of Washington The Majority Ought Not To Pass Report Accepted. In Concurrence Placed In Legislative Files (Dead),http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280063495
L.D. 705 (H.P. 496): An Act To Prevent Marine Debris,Support,Water,Passed Original Chamber,Reports Read On Motion By Senator Maker Of Washington The Minority Ought Not To Pass Report Accepted. In Concurrence Placed In Legislative Files (Dead),http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280063482
L.D. 727 (H.P. 511): An Act To Protect The Tax Base Of Municipalities By Removing The Property Tax Exemption For Land Held For Conservation Or Public Access Purposes,Oppose,,Passed Original Chamber,Reports Read On Motion By Senator Dow Of Lincoln The Majority Ought Not To Pass Report Accepted. In Concurrence Roll Call Ordered Roll Call Number 166 Yeas 35 - Nays 0 - Excused 0 - Absent 0 Placed In Legislative Files (Dead),http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280063575
L.D. 580 (S.P. 195): An Act To Modify The Mining Laws,Oppose,,Passed Original Chamber,Pursuant To Joint Rule 310.3 Placed In Legislative Files (Dead),http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280063340
L.D. 590 (S.P. 205): An Act To Authorize A General Fund Bond Issue To Invest In Maine'S Rail Infrastructure,Support,Transportation,Passed Original Chamber,In Possession Of The Senate When The Senate Adjourned Sine Die And Placed In The Legislative Files (Dead).,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280063349
L.D. 450 (S.P. 152): An Act To Prevent Oil Spills In Casco Bay,Support,,Passed Original Chamber,Pursuant To Joint Rule 310.3 Placed In Legislative Files (Dead),http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280063110
"L.D. 435 (H.P. 315): Resolve, To Study The Feasibility And Cost Of Providing Passenger Rail Service To The City Of Bangor",Support,Transportation,Passed Original Chamber,Taken From The Table By The President On Motion By Senator Collins Of York The The Majority Ought Not To Pass Report Accepted Roll Call Ordered Roll Call Number 79 Yeas 16 - Nays 15 - Excused 4 - Absent 0 Prevailed Placed In Legislative Files (Dead),http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280063135
L.D. 375 (S.P. 116): An Act To Establish A Carpet Stewardship Program,Support,Waste,Passed Original Chamber,Pursuant To Joint Rule 310.3 Placed In Legislative Files (Dead),http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280062985
L.D. 385 (S.P. 126): An Act To Establish A Stewardship Program For Certain Rechargeable Batteries,Support,Waste,Passed Original Chamber,Pursuant To Joint Rule 310.3 Placed In Legislative Files (Dead),http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280062998
L.D. 244 (H.P. 177): An Act To Clarify The Use Of State Lands Designated For Conservation Or Recreation Purposes,Support,,Passed Original Chamber,Pursuant To Joint Rule 310.3 Placed In Legislative Files (Dead),http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280062842
L.D. 253 (H.P. 186): An Act To Repeal The Maine Metallic Mineral Mining Act,Support,,Passed Original Chamber,Pursuant To Joint Rule 310.3 Placed In Legislative Files (Dead),http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280062852
L.D. 316 (S.P. 104): An Act To Authorize A General Fund Bond Issue For Railways,Support,Transportation,Passed Original Chamber,In Possession Of The Senate When The Senate Adjourned Sine Die And Placed In The Legislative Files (Dead).,http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280062838
"L.D. 315 (S.P. 103): Resolve, Directing The Department Of Transportation To Apply For Funds For Rail Improvements",Support,Transportation,Introduced or Prefiled,Pursuant To Joint Rule 310.3 Placed In Legislative Files (Dead),http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280062837
L.D. 292 (H.P. 225): An Act To Authorize A General Fund Bond Issue To Invest In Maine'S Rail Infrastructure And Expand Passenger Rail Service,Support,Transportation,Passed Original Chamber,The Bill Was In The Possession Of The Committee On Appropriations And Financial Affairs When The Legislature Adjourned Sine Die And Was Placed In The Legislative Files. (Dead),http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280062884
"L.D. 254 (H.P. 187): An Act To Implement A Moratorium On Metallic Mineral Mining""
(Emergency)",Support,,Passed Original Chamber,Pursuant To Joint Rule 310.3 Placed In Legislative Files (Dead),http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280062854
L.D. 160 (H.P. 118): An Act To Prohibit The Mining Of Massive Sulfide Ore Deposits Under The Maine Metallic Mineral Mining Act,Support,,Passed Original Chamber,Taken From The Table By The President Subsequently The Majority Ought Not To Pass Report Accepted Roll Call Ordered Roll Call Number 369 Yeas 29 - Nays 6 - Excused 0 - Absent 0 Placed In Legislative Files (Dead),http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280062684
L.D. 103 (H.P. 71): An Act To Prohibit The Use Of Certain Disposable Food Service Containers,Support,Waste,Passed Original Chamber,Pursuant To Joint Rule 310.3 Placed In Legislative Files (Dead),http://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280062594
